SL NO,District,Location Name As Per List,Location Address,Location Category,Hotspot included in Phase 
467,Kottayam,"District Hospital , Kottayam","General hospital ,Kottayam,Kerala 686002",Hospital,Phase-1
468,Kottayam,Erattupetta Block Office,"Erattupatte Block office,Aruvithura, Erattupetta, Kerala 686122",Block Office,Phase-1
469,Kottayam,Erattupetta Muncipal Office,"Municipal Office,Nadackal,Erattupetta, Kerala 686121",Municipal Office,Phase-1
470,Kottayam,Ettumanoor Muncipal Office,"Private Bus Stand Rd, Ettumanoor, Kerala 686631",Municipal Office,Phase-1
471,Kottayam,"Govt College , Nattakom","Moolavattom, Nattakom, Kerala 686013",University/College,Phase-1
472,Kottayam,Govt Polytechnic Nattakom,"Mulankuzha, State Highway 1, Kottayam, Kerala 686013",University/College,Phase-1
473,Kottayam,"Govt Rest House , Kanjirappally","Govt Rest House, Kanjirappally, Kerala 686506",Guest House,Phase-1
474,Kottayam,"Govt Rest House , Palai","Govt Rest House,Near Lalam mahadeva temple  Pala, Kerala 686575",Guest House,Phase-1
475,Kottayam,"Govt Rest House, Kottayam","Tourist Banglow Rd, Kodimatha, Kottayam, Kerala 686001",Guest House,Phase-1
476,Kottayam,Homeo medical college,"Chethipuzha Kurichy Rd, Kurichy, Kerala 686532",University/College,Phase-1
477,Kottayam,Kaduthuruthy Block Office,"Ettumanoor P O,Ettumanoor,Kottayam- 686631",Block Office,Phase-1
478,Kottayam,Kanjirapally Block Office,"Block Offfice, Kanjirappally , Pin-686507.",Block Office,Phase-1
479,Kottayam,Kottayam Muncipal Office,"Main Central Rd, Kottayam, Kerala 686016",Municipal Office,Phase-1
480,Kottayam,"KSRTC Bus Stand, Pala","Thodupuzha Road, Pala, Kerala 686575",Bus Stand,Phase-1
481,Kottayam,KSRTC Bus Station Chanaganassery,"KSRTC Bus station, Perunna,Changanassery Town, Kottayam-686101",Bus Stand,Phase-1
482,Kottayam,KSRTC Bus Station Ettumanoor,"Village Office Ettumanur,Ettumanoor, Kerala 686631",Village Office,Phase-1
483,Kottayam,KSRTC Bus Station Kottayam,"Opposite Kalyan Jewellery, Main Central Rd, Kottayam, Kerala 686001",Bus Stand,Phase-1
484,Kottayam,KSRTC Bus Station Vaikom,"Hospital Rd, Vaikom, Kerala 686141",Bus Stand,Phase-1
485,Kottayam,"Railway Station, Kottayam","Kumarakom Boat Jetty Road, Athikkalam, Kumarakom, Kerala 686563",Tourist Place,Phase-1
486,Kottayam,Lalam  Block Office,"Pravithanam, SH8, Anthinad, Pravithanam, Kerala 686651",Block Office,Phase-1
487,Kottayam,M G University akshaya,"Opposite M.G. University, Athirampuzha, Kottayam, Kerala 686560",Akshaya,Phase-1
488,Kottayam,Madapally Block Office,"Madappally, Kerala 686546",Block Office,Phase-1
489,Kottayam,Medical College Hospital Kottayam,"P.O. Gandhi Nagar Kottayam,, Gandhi Nagar, Kottayam, Kerala 686009",Hospital,Phase-1
490,Kottayam,Medical College Kottayam,"P.O. Gandhi Nagar Kottayam,, Gandhi Nagar, Kottayam, Kerala 686008",University/College,Phase-1
491,Kottayam,"Mini civil station, Vaikom (Taluk Office)","First Floor, Mini Civil Station, Vaikom, Kerala 686141",Civi Station/Mini Civil station,Phase-1
492,Kottayam,"Mini Civil station, Vakathanam","Njaliankuzhi, Pongamthanam, Vakathanam, Kerala 686538",Civi Station/Mini Civil station,Phase-1
493,Kottayam,"Mini civil station,Kanjirapally (Taluk Office)","1st Floor, Mini Civil Station, Kottayam-Kumily Rd, Kokkappally, Kanjirappally",Civi Station/Mini Civil station,Phase-1
494,Kottayam,"Mini civil station,Kottayam (Taluk Office)","First Floor, Mini Civil Station, Union Club Road, Puthenangady, Kottayam",Civi Station/Mini Civil station,Phase-1
495,Kottayam,"Mini civil station,Meenachil (Taluk Office)","Mini Civil Station, Ground Floor, 123, Pala Ramapuram Rd, Pala, Kerala 686575",Civi Station/Mini Civil station,Phase-1
496,Kottayam,"Nehru Muncipal Stadium,Nagampadom","Near Nagampadam Bridge, Central Road, Kottayam, Kerala 686001",Public Place,Phase-1
497,Kottayam,Nursing College,"P.O. Gandhi Nagar Kottayam,, Gandhi Nagar, Kottayam, Kerala 686009",University/College,Phase-1
498,Kottayam,Pala Muncipal Office,"Municiapl Office, Pala, Kerala 686575",Municipal Office,Phase-1
499,Kottayam,Pallam Block Office,"Opp MRF,Vadavathoor, Kottayam, Kerala 686010",Block Office,Phase-1
500,Kottayam,Pampady Block Office,"Pampady Block Office, Anicaudu,Kottayam-686503",Block Office,Phase-1
501,Kottayam,Panchayat,"Pallickathodu, Kerala 686503",Panchayat office,Phase-1
502,Kottayam,Panchayat,"SH14 Teekoy, Kerala 686121",Panchayat office,Phase-1
503,Kottayam,Panchayat,"Kavumbhagam, Thalanadu, Kerala 686580",Panchayat office,Phase-1
504,Kottayam,Panchayat,"Plassanal, Kerala 686579",Panchayat office,Phase-1
505,Kottayam,Panchayat,"Erattupetta - Kanjirappally Road, Thidanad, Kerala",Panchayat office,Phase-1
506,Kottayam,Panchayat,"Mannanam-Pulikuttissery Rd, Arpookara, Kerala 686008",Panchayat office,Phase-1
507,Kottayam,Panchayat,"Athirampuzha, Kerala, 686562",Panchayat office,Phase-1
508,Kottayam,Panchayat,"Kudayampadi - Parippu Rd, Aymanam, Kerala 686015",Panchayat office,Phase-1
509,Kottayam,Panchayat,"TV Puram Office, Vaikom, Kerala 686606",Panchayat office,Phase-1
510,Kottayam,Panchayat,"Kaduthuruthy panchayth ,Kaduthuruthy, Kerala 686604",Panchayat office,Phase-1
511,Kottayam,Panchayat,Kallara panchayath,Panchayat office,Phase-1
512,Kottayam,Panchayat,Kuruppanthara - Mettumpara Rd manjoor Kerala 686603,Panchayat office,Phase-1
513,Kottayam,Panchayat,Mulakkulam panchayth,Panchayat office,Phase-1
514,Kottayam,Panchayat,"Njeezhoor Kaduthuruthy Rd, Njeezhoor, Kerala 686612",Panchayat office,Phase-1
515,Kottayam,Panchayat,"SH15, Thalayolaparambu, Kerala 686605",Panchayat office,Phase-1
516,Kottayam,Panchayat,"SH44, Erumeli South, Kerala 686509",Panchayat office,Phase-1
517,Kottayam,Panchayat,"Kanjirappally P.O., Kollam- Theni Highway , opp to Canara Bank, Kottayam",Panchayat office,Phase-1
518,Kottayam,Panchayat,"Mundakayam - Koottickal Rd, Koottickal, Kerala 686514",Panchayat office,Phase-1
519,Kottayam,Panchayat,"Manimala Panchayat,SH8, Manimala P.O , Kottayam,  Kerala 686544",Panchayat office,Phase-1
520,Kottayam,Panchayat,"Mundakayam, Kerala 686513",Panchayat office,Phase-1
521,Kottayam,Panchayat,Bharananganam Kerala 686578,Panchayat office,Phase-1
522,Kottayam,Panchayat,"Kadanad Pizhaku Rd, Kadanad, Kerala 686653",Panchayat office,Phase-1
523,Kottayam,Panchayat,"Karoor Panchayath Office Pala Ramapuram Rd, Lalam, Kerala 686574",Panchayat office,Phase-1
524,Kottayam,Panchayat,"Kozhuvanal Panchayath , Kottayam",Panchayat office,Phase-1
525,Kottayam,Panchayat,"Mutholy, Kerala 686574",Panchayat office,Phase-1
526,Kottayam,Panchayat,"Thuruthy, Kurichy, Kerala 686532",Panchayat office,Phase-1
527,Kottayam,Panchayat,"Madapally Panchayath Office. Mamood P O, Changanassery - Vazhoor Rd",Panchayat office,Phase-1
528,Kottayam,Panchayat,"Changanassery Kaviyoor Rd, Changanassery, Kerala 6865",Panchayat office,Phase-1
529,Kottayam,Panchayat,"Thrikodithanam Kunnamthanam Rd, Changanassery, Kerala 686105",Panchayat office,Phase-1
530,Kottayam,Panchayat,"Njaliyakuzhy, Vakathanam, Kottayam, Kerala 686538",Panchayat office,Phase-1
531,Kottayam,Panchayat,"Chethipuzha Kadavu, Changanassery, Kerala 686104",Panchayat office,Phase-1
532,Kottayam,Panchayat,"Ayarkunnam, Kerala 686564",Panchayat office,Phase-1
533,Kottayam,Panchayat,"Kumarakom, Kerala,686563",Panchayat office,Phase-1
534,Kottayam,Panchayat,"Kottayam-Kumily Rd, Manarcadu, Kerala 686019",Panchayat office,Phase-1
535,Kottayam,Panchayat,"Maravanthuruthu GP-New building Kulasekharamangalam, Chempu - Palamkadavu Rd, Maravanthuruthu 686608",Panchayat office,Phase-1
536,Kottayam,Panchayat,"Pallom Road, Kottayam, Kerala 686533",Panchayat office,Phase-1
537,Kottayam,Panchayat,"MRF Rd & Vadavathoor Rd, Vadavathoor, Kottayam, Kerala 686010/Vijayapuram panchayath",Panchayat office,Phase-1
538,Kottayam,Panchayat,"Poovathilappu, Akalakunnam, Kerala 686503",Panchayat office,Phase-1
539,Kottayam,Panchayat,"Elamgulam Panchayat New Building Koorali Thampalakkadu Rd Elamgulam, Kerala 686522",Panchayat office,Phase-1
540,Kottayam,Panchayat,"Near SBT Bank, Pampady, Kottayam, Kerala 686502",Panchayat office,Phase-1
541,Kottayam,Panchayat,"Vayala - Kadaplamattom Rd, Kadaplamattom, Kerala 686571",Panchayat office,Phase-1
542,Kottayam,Panchayat,"Kanakkary Panchayat Building Kanakkary, Kerala 686632",Panchayat office,Phase-1
543,Kottayam,Panchayat,"Main Central Rd, Kuravilangad, Kerala 686633",Panchayat office,Phase-1
544,Kottayam,Panchayat,"Ramapuram, Kerala 68657",Panchayat office,Phase-1
545,Kottayam,Panchayat,"Areekkara, Kerala 686576",Panchayat office,Phase-1
546,Kottayam,Panchayat,"Chempu panchayth -new Building Brahmamangalam - Neerpara Rd, Brahmamangalam, Kerala 686605",Panchayat office,Phase-1
547,Kottayam,Panchayat,"Karukachal Manimala Rd, Pathanadu, Kangazha, Kerala 686541",Panchayat office,Phase-1
548,Kottayam,Panchayat,"Puthuppally, Kerala, 686011",Panchayat office,Phase-1
549,Kottayam,Panchayat,"Thiruvarppu Rd, Thiruvarpu, Kerala 686020",Panchayat office,Phase-1
550,Kottayam,Panchayat,"Oravackal Koorali road, Kooroppada, Kerala 686502",Panchayat office,Phase-1
551,Kottayam,Panchayat,"Vettathukavala Meenadom Rd, Meenadom, Kerala 686516",Panchayat office,Phase-1
552,Kottayam,Panchayat,"Old Ettumanoor Pala Road, Kidangoor, Kottayam, Kerala 686572",Panchayat office,Phase-1
553,Kottayam,Panchayat,"Pala Marangattupalli Kozha Road, Marangattupilly, Kerala 686635",Panchayat office,Phase-1
554,Kottayam,Panchayat,"Panchayath Office, Uzhavoor-686634",Panchayat office,Phase-1
555,Kottayam,Panchayat,"Thalayazham, Kerala 686607",Panchayat office,Phase-1
556,Kottayam,Panchayat,"Naduvile, Kerala 686146",Panchayat office,Phase-1
557,Kottayam,Panchayat,"Alappuzha - Madurai Road, Kottayam, Vechoor, Kerala 686144",Panchayat office,Phase-1
558,Kottayam,Panchayat,"Nedumkunnam, Kerala 686542",Panchayat office,Phase-1
559,Kottayam,Panchayat,"Pampady, Pulickal Kavala, Kottayam, Kerala 686515",Panchayat office,Phase-1
560,Kottayam,Panchayat / Gvt.Hospital,"koruthode Kottayam, Kerala 686513",Panchayat office,Phase-1
561,Kottayam,Panchayat / Gvt.Hospital,Meenachil Panchayath Edamattom P.O Kottayam Pin 686575,Panchayat office,Phase-1
562,Kottayam,Panchayath,"Poonjar Town Road, Poonjar, Kerala 686582",Panchayat office,Phase-1
563,Kottayam,Panchayath,"Panchayath Office Moonilavu , Moonnilavu - Vakkadu Rd,Moonnilavu P.O Thalanadu, Kerala 686586",Panchayat office,Phase-1
564,Kottayam,Panchayath,"Changanassery - Vazhoor Rd, Karukachal, Kerala 686540",Panchayat office,Phase-1
565,Kottayam,Panchayath,"Melukavumattam, Kerala 686652",Panchayat office,Phase-1
566,Kottayam,Panchayath,"Bus Stand Road, Poonjar, Kerala 686582/tekekara",Panchayat office,Phase-1
567,Kottayam,Private Bus Stand,Manarcaud public health centre-near police station manarcaud-manarcaud Kerala  686019,Hospital,Phase-1
568,Kottayam,Private Bus Stand,"Puthuppally, Kottayam, Kerala 686011",Bus Stand,Phase-1
569,Kottayam,Private Bus stand Erattupetta,bus stand erattupetta,Bus Stand,Phase-1
570,Kottayam,Private Bus stand Ettumanoor,"Private Bus Stand , Ettumanoor, Kerala 686631",Bus Stand,Phase-1
571,Kottayam,Private Bus stand Medical college,"Centre for Professional and advanced Studies,Gandhi Nagar Kottayam 686008",Bus Stand,Phase-1
572,Kottayam,"Private Bus stand Nagampadom,Kottayam","Police Control room, Private Bus Stand Nagampadom,  Kottayam, Kerala 686002",Bus Stand,Phase-1
573,Kottayam,"Private Bus stand Thirunakkara, Kottayam","Thirunakara, Kottayam, Kerala 686001",Bus Stand,Phase-1
574,Kottayam,Private Bus stand Town Palai,"Muncipal Stadium, River View Road, Kottaramattom, Pala - 686575, Kerala, India",Bus Stand,Phase-1
575,Kottayam,"Private Bus stand, Kanjirappaly","Chirakkadavu Panchayath Office, Erumely - Ponkunnam Rd, Ponkunnam, Kerala 686506",Panchayat office,Phase-1
576,Kottayam,"Revenue Tower,Changanassery Taluk Office","Opposite Government Model HSS, kachery Rd, Changanassery, 686101",Govt Office,Phase-1
577,Kottayam,"Taluk Hospital ,Kanjirappilly","Taluk Hospital ,Kanjirappilly-New building Kottayam-Kumily Road, Kanjirappally, Kerala 686506",Hospital,Phase-1
578,Kottayam,"Taluk Hospital, Kuravilangad","Thottuva - Kaduthuruthi Rd, Kurishupally, Kuravilangad, Kerala 686633",Hospital,Phase-1
579,Kottayam,Uzhavoor Block Office,"Kuravilangad, Kerala 686632",Block Office,Phase-1
580,Kottayam,Vaikom  Block Office,"Vadakkemuri,Vaikom 686143",Block Office,Phase-1
581,Kottayam,Vazhoor Block Office,"Kodungoor - Manimala Rd, Kerala 686517",Block Office,Phase-1
582,Kottayam,KSRTC Erattupetta Sub Depot,"KSRTC Erattupetta Sub Depot SH44, Thekkekara, Erattupetta, Kerala 686121",Bus stand,Phase-2
583,Kottayam,KSRTC Erumely Operating Centre,"KSRTC Erumely Operating Centre Erumely, Kerala 686509",Bus stand,Phase-2
584,Kottayam,KSRTC Ponkunnam Sub Depot,"KSRTC Ponkunnam Sub Depot NH183, Kottayam, Kerala 686506",Bus stand,Phase-2
585,Kottayam,changanassery muncipal office,"apj abdul kalam rd, perunna, changanassery,kerala 686101",Municipal Office,Phase-2
586,Kottayam,muncipal park changanassery,"opposite s.b.college, poovakattuchira, changanassery, kottayam 686101",Park,Phase-2
587,Kottayam,Taluk Hospital Vaikom,"Taluk Hospital Vaikom,Kottayam  Kerala 686141",Hospital,Phase-2
588,Kottayam,Vaikom Muncipal Office," Vaikom Muncipal Office West Gate, W Gate Rd, Vaikom, Kottayam, Kerala 686141",Municipal Office,Phase-2
589,Kottayam,Kottayam Public Library,"Kottayam Public Library, KSEB Road, Nagampadam, Kottayam - 686001, Kerala, India",Library,Phase-2
590,Kottayam,KURAVILANGADU MINI CIVIL STATION,KURAVILANGADU MINI CIVIL STATION  ADDRESS: MINI CIVIL STATION KURAVILANGADU KOTTAYAM KERALA 686633,Civi Station/Mini Civil station,Phase-2
591,Kottayam,PONKUNNAM MINI CIVIL STATION  ,"Chirakkadavu village office,PONKUNNAM MINI CIVIL STATION  ADDRESS: MINI CIVIL STATION PONKUNNAM KOTTAYAM KERALA 686506",Civi Station/Mini Civil station,Phase-2
592,Kottayam,THALAYOLAPARAMBU MINI CIVIL STATION    ,"Head surveyor office,THALAYOLAPARAMBU MINI CIVIL STATION    ADDRESS: MINI CIVIL STATION THALAYOLAPARAMBU KOTTAYAM KERALA 682301",Civi Station/Mini Civil station,Phase-2
593,Kottayam,Kottayam boat Jetty  Dtpc Office,"Near Police Station, Kodimatha, Kottayam, Kerala 686013",Tourist Place,Phase-2
594,Kottayam,Cheepunkal,"Cheepunkal, Kavanattinkara, Kumarakom North P O, Kerala 686563",Tourist Place,Phase-2
595,Kottayam,District Court Kottayam,"KK Road, Collectorate PO, Kottayam, Kerala 686002",Court,Phase-2
596,Kottayam,General Hospital Changanassery,"Near KSRTC, Govt Hospital Road, Changanassery, Kottayam, Kerala 686101",Hospital,Phase-2
597,Kottayam,General Hospital Pala,"Pala Main Rd, Pala, Kerala 686575",Hospital,Phase-2
598,Kottayam,RIT Pampady,"RIT Junction Nedumkuzhy Kottayam Velloor, Pampady, Kerala 686501",University/College,Phase-2
599,Kottayam, THQH Pampady,"K. K. Road, Pampady, Kottayam, Kerala 686521,Ktm 0481-2507866 225 ",Hospital,Phase-2
600,Kottayam,Vaikom Boat Jetty,"Vaikom Boat Jetty Hospital Rd, Vaikom, Kerala 686141",Tourist Place,Phase-2
601,Alleppey,TB Junction,"NH 66,Tb clinic, Karuvatta, Kerala 690517",Panchayat office,Phase-1
602,Alleppey,Mararikkulam North Panchayat / Police Station,"Mararikkulam North Panchayat , near Mararikkulam Police station, S L Puram, 688523",Panchayat office,Phase-1
603,Alleppey,Panchayath office palamel,KP road Nooranad,Panchayat office,Phase-1
604,Alleppey,Block Office Bharanikkavu,Charumoodu Jn Thamarakkulam,Block Office,Phase-1
605,Alleppey,KSRTC Bus Stand,"KSRTC Bus stand,Thondakulangara, 688013",Bus Stand,Phase-1
606,Alleppey,RDO Alappuzha,"Opposite District Court Alappuzha, Thondakulangara,688013",Govt Office,Phase-1
607,Alleppey,Govt Ayurveda Hospital Cheppad,"CHEPPAD, ALAPUZHA, Kerala 690507",Hospital,Phase-1
608,Alleppey,KSRTC Bus Station Mavelikkara,"690101, Kottanadu, Old Mavelikkara, Mavelikara, Kerala 690101",Bus Stand,Phase-1
609,Alleppey,Panchayath Office,"Kattur church junction,Kattur,kalavoor, 688522",Panchayat office,Phase-1
610,Alleppey,Punnapra North Panchayath Office,"IMS church, Panchayath,Paravur, 688014",Panchayat office,Phase-1
611,Alleppey,Punnapra Village,"Village office Punapra, Near Punapra , Alappuzha, Kerala Pin.688004",Village Office,Phase-1
612,Alleppey,Aryad Panchayath Office,"mannanchery-Alappuzha road,Komalapuram,688006",Panchayat office,Phase-1
613,Alleppey,Ambalappuzha Bus Station," Ambalappuzha,688561",Bus stand,Phase-1
614,Alleppey,Block Office,"Block Office, Kalarcode, 688003",Block Office,Phase-1
615,Alleppey,Medical College Hospital,"Vandanam Hospital, Vandanam,688005",Hospital,Phase-1
616,Alleppey,Veeyapuram Panchayath," Veeyapuram Koickal Junction - Puthenthuruth Rd, Veeyapuram, Kerala 690514",Panchayat office,Phase-1
617,Alleppey,Puthuppally Village Office,"Near Devikulangara Temple, Puthuppally, Kerala 690502",Panchayat office,Phase-1
618,Alleppey,Pathiyoor Panchayath,"Pathiyoor, Kerala 690552",Panchayat office,Phase-1
619,Alleppey,Cheruthana Panchayat Office,Cheruthana P.O. Alappuzha,Panchayat office,Phase-1
620,Alleppey,KSRTC Bus Stand,"Chengannoor.P.O., Alappuzha, Kerala 689121",Bus Stand,Phase-1
621,Alleppey,Panchayath office/krishi Bhavan,"Mannar-chengannur Road,near store jn 689622",Panchayat office,Phase-1
622,Alleppey,Panchayath office/Krishi Bhavan,"Ennakkad - Kuttemperoor Rd, Ennakkad, Kerala 689622",Panchayat office,Phase-1
623,Alleppey,Panchayath office Jn puliyur,"Chengannur, Puliyoor 689510,Panchayath Office",Panchayat office,Phase-1
624,Alleppey,Homeo Dispensary/Panchayath office,"Homeo dispensery,Pravinkoodu Jn, Mazhukeer Chengannur 689106",Hospital,Phase-1
625,Alleppey,Areekara PHC,"Mulakuzha,Chengannur 689521",Hospital,Phase-1
626,Alleppey,Panchayath office/krishi Bhavan,"Cheriyanad - Ala - Madathumpady Rd, Cheriyanad, Kerala 689511",Panchayat office,Phase-1
627,Alleppey,Govt hospital Pandanad,"Chengannur Parumala Mannar Rd, Keezhuvanmazhy, Pandanad, Kerala 689506",Hospital,Phase-1
628,Alleppey,pattanakkad panjayat complex,"Pattanakkadu, 
Alappuzha - 688531",Panchayat office,Phase-1
629,Alleppey,kadakkarappally village / Panchayat,"kadakkarappally  Panchayat, Thanki kavala, Kadakkarappally,Kerala 688529 ",Panchayat office,Phase-1
630,Alleppey,kuthiyathodu police station,"Kuthiyathodu,
 Alappuzha - 688533  (Map)",Police Station,Phase-1
631,Alleppey,Ezhupunna Grama Panchayat,"Eramallur Ezhupunna Rd, 
Neendakara, Eramalloor, 
Ezhupunna, Kerala 688537",Panchayat office,Phase-1
632,Alleppey,SSUS/Panchayat Office Thuravoor,"Puthanchantha, Thuravoor
Kerala 688532",Panchayat office,Phase-1
633,Alleppey,Cherthala South Panchayat,"Kanichukulangara 
Rd, Cherthala South, 
Kerala 688530",Panchayat office,Phase-1
634,Alleppey,Vayalar Panchayat Office,"nagamkulangara jn,Vayalar
Alappuzha, 688536
Kerala",Panchayat office,Phase-1
635,Alleppey,ThaikkattuserryPanchayat / Akshaya/MDUPS,"ThaikkattuserryPanchayath Office, Thaikkattuserry P.O Alappuzha-688528",Panchayat office,Phase-1
636,Alleppey,Sub registrar Office,"Kattanam Jn,KP road Bharanikavu, 690541",Govt Office,Phase-1
637,Alleppey,"KSEB, Kuthiyathodu","NH 66, Kuthiathodu, Kodamthuruth, Kerala 688533",Govt Office,Phase-1
638,Alleppey,General Hospital,"General Hospital, Alappuzha ,688011",Hospital,Phase-1
639,Alleppey,Thalavady Panchayath,"Panchayat office, thalavady 689572",Panchayat office,Phase-1
640,Alleppey,Panchayat Office Neelamperoor,"Neelamperoor, Kerala 686534",Panchayat office,Phase-1
641,Alleppey,Mini civil station Mavelikara,Mavelikara 690101,Civi Station/Mini Civil station,Phase-1
642,Alleppey,Block Office Mavelikkara,"Puthiyakavu, Mavelikara 690101",Block Office,Phase-1
643,Alleppey,Krishi Bhavan/PHC ,"Chettikulangara Temple Rd, Chettikulangara, Perungala 690106",Govt Office,Phase-1
644,Alleppey,Panchayath office,"Thripperumthura, Chennithala 690105",Panchayat office,Phase-1
645,Alleppey,Panchayath Office Thazhakkara,Mankamkuzhy-Pandalam Rd,Panchayat office,Phase-1
646,Alleppey,Panchayath office Chunakkara,Chunakkara Charumood Rd 690534,Panchayat office,Phase-1
647,Alleppey,Panchayath office Bharanikkavu,"KP road  Bharanikavu, 690541",Panchayat office,Phase-1
648,Alleppey,Govt TTC / Muncipal Office / Police Station,"Municipal office,Mavelikara 690101",Municipal Office,Phase-1
649,Alleppey,Ambalappuzha Govt:College / GHSS / Temple,"Ambalappuzha Govt: College,Ambalappuzha , 688561",University/College,Phase-1
650,Alleppey,Mini Civil Station,"Mini Civil Station Alappuzha, 688001",Civi Station/Mini Civil station,Phase-1
651,Alleppey,Civil Station Alappuzha *,"Collectorate, Alappuzha  688001",Civi Station/Mini Civil station,Phase-1
652,Alleppey,Kayamkulam Civil Station,"Kayamkulam, Kerala 690502",Civi Station/Mini Civil station,Phase-1
653,Alleppey,Poyyakkara,"Pallippad, Kerala 690512",Panchayat office,Phase-1
654,Alleppey,Harippad KSRTC stand," Haripad, Kerala 690514",Bus Stand,Phase-1
655,Alleppey,Mini Civil station Chengannur,"Chengannur, Kerala 689121",Civi Station/Mini Civil station,Phase-1
656,Alleppey,Odampally,"Panavally, Kerala 688566",Block Office,Phase-1
657,Alleppey,Govt.Engineering College Cherthala / THSS Pallippuram / Panchayat Office / Thavanakkadavu Ferry,"Pallipuram, Cherthala 
Arookutty Road,
 Thavanakadavu, Cherthala, Kerala 688541",Panchayat office,Phase-1
658,Alleppey,Thaikkattuserry Govt.Hospital / Makkekkadavu Ferry,"Makkekadavu, 
Thaikkattussery, 
Alappuzha - 688528, ",Hospital,Phase-1
659,Alleppey,Kanjikkuzhi Panchayath Office,"Kanjikkuzhi, Kerala 688525",Panchayat office,Phase-1
660,Alleppey,Minicivil Station Cherthala,"St Mary's School Rd,
 Kodathikavala, Cherthala, 
Kerala 688524",Civi Station/Mini Civil station,Phase-1
661,Alleppey,Panchayath Office nooranad,"Para-Pandalam Road, Padanilam 690529",Panchayat office,Phase-1
662,Alleppey,KSRTC Edathva Operating Centre,"KSRTC Edathva Operating Centre Edathua, Kuttanad Taluk, Kerala 689573",Bus stand,Phase-2
663,Alleppey,KSRTC Kayamkulam Depot,"KSRTC Kayamkulam Depot Kayamkulam, Kerala 690502",Bus stand,Phase-2
664,Alleppey,Vijay Beach Park,"Port office,Alappuzha Bypass Rd, Vellappally, Sea View Ward, Alappuzha, Kerala 688007",Park,Phase-2
665,Alleppey,  Krishnapuram Palace,"  Krishnapuram Palace Dist, Kayamkulam, Oachira Rd, Near, Krishnapuram, Kerala 690533",Tourist Place,Phase-2
666,Alleppey,Panchayat Shopping Complex & Bus Stand,"Grama panchayath,MannancheryP.O, 688538",Panchayat office,Phase-2
667,Alleppey,Harippad Townhall(Haripad Muncipal office),"Harippad Court complex,Near Revenue Tower, Haripad 690514",Court,Phase-2
668,Alleppey,Karthikappally Jn,"Karthikapally panchayath,Thattarambalam Thrikkunnapuzha Rd, Karthikapally, Kumarapuram, Kerala 690516",Panchayat office,Phase-2
669,Alleppey,Velanchira(kandalloor gp),"Kandallor panchayath,Velanchira - Paravoor Mukku Rd, Puthiyavila, Kerala 690572",Panchayat office,Phase-2
670,Alleppey,Perumpally,"Aarattupuzha Government homeo dispensary ,Valiazheekal,alappuzha 690515",Panchayat office,Phase-2
671,Alleppey,Muthukulam High school Jn (Muthukulam block office),"Muthukulam P. O- 690 506,, Kerala",Block Office,Phase-2
672,Alleppey,Valiyakulangara,"Government PHC,Near Valiyakulangara jn,Valiyakulangara - Madhavakulangara Road",Hospital,Phase-2
673,Alleppey,Kumarakodi / Pallana,"Government homeo dispensary thrikunnapuzha , near pallana,KARUVATTA KUMARAKODI ROAD, Parappel Temple Rd, Karuvatta, Kerala 690548",Hospital,Phase-2
674,Alleppey,Choondupalaka,"Cheppad village office ,Panachumoodu, Cheppad.P.O Kerala  690511
Panachumoodu. 
Cheppad., Kerala 690511",village Office,Phase-2
675,Alleppey,Vazhiyambalam,"Government homeo dispensary,near vazhiyambalam jn,Karuvatta Veeyapuram Road, Karuvatta, Kerala 690517",Hospital,Phase-2
676,Alleppey,Muncipal Bus Stand,"Chengannoor.P.O., Alappuzha, Kerala 689121",Municipal Office,Phase-2
677,Alleppey,krishi bhavan/Panchayath office Jn Pandanad,"Pnachayath office,Keezhuvanmazhy, Pandanad part,Chengannur 689506",Panchayat office,Phase-2
678,Alleppey,Panchayath office Jn Mulakuzha,"Grama Panchayath Mulakuzha, Mulakkuzha , Chenganoor 689504",Panchayat office,Phase-2
679,Alleppey,Mannar govt hospital/Govt School,Store Junction Mannar 689622,Hospital,Phase-2
680,Alleppey,KSRTC Bus Station Cherthala,"Cherthala - Thaneermukkom Rd, Kodathikavala, Cherthala, Kerala 688524",Bus Stand,Phase-2
681,Alleppey,Vaduthala JHSS / Akshaya,"KSEB office,vaduthala jn ,Cherthala Arookutty road,Arookutty P.O. 688535
",Govt Office,Phase-2
682,Alleppey,aroor church Junction(Aroor Village office),"Aroor village office,NH47, Aroor, , Kerala 688535",village Office,Phase-2
683,Alleppey,Eramalloor Jn/ Akshaya Centre,"Village office ,near sania theater Eramalloor, Ezhupunna, Kerala 688537",village Office,Phase-2
684,Alleppey,Chakkulathukavu Jn,"Village office Thalavady,near Chakkulathukavu Sree Bhagavathi Temple,, Alappuzha, Kerala 688011",village Office,Phase-2
685,Alleppey,Mini civil station Mankombu,"Asst Exe Engineer Office, PWD Roads Section, Mini Civil Station Mankombu P.O, Kuttanad 688503",Govt Office,Phase-2
686,Alleppey,St.George Forane church Jn,"Panchayath office,Church Rd, Edathua, Kuttanad Taluk, Kerala 689573",Panchayat office,Phase-2
687,Alleppey,Veliyanad Panchayath,"Grama panchayat veliyanad, 689590",Panchayat office,Phase-2
688,Alleppey,Taluk Head quarters Hospital,"Pullinkunnu, Kerala 688502",Hospital,Phase-2
689,Alleppey,Taluk Head Quarters Hospital Cherthala,"Police Station Road, Cherthala, Kerala 688524",Hospital,Phase-2
